site,rep,wt_p_berry,rot_pct,yield_acre_barrel,yield_ha_barrel,yield_ac_kg,yield_ac_lb,tacy,absorbance,log_rot,variety,year,month,data_source,treatment,kqf_final,kqf_pre,date,grower,bog,debris,color,avg_temp_f,tot_precip,ingredient
2,5,2.113145161,21.51898734,251.6359176,28192.6462,11414.0268,25163.59176,27,0.23,1.33302360237374,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
20,1,1.813970588,25.27472527,118.4570104,13271.62122,5373.126,11845.70104,21,0.18,1.40285823918782,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
20,2,1.844114286,1.685393258,309.9184954,34722.4775,14057.6832,30991.84954,19,0.16,0.229270451783884,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
20,3,1.967293233,1.481481481,251.2709913,28151.76078,11397.474,25127.09913,15,0.13,0.173617865308245,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
20,4,1.949754601,8.938547486,305.2032629,34194.19489,13843.8036,30520.32629,21,0.18,0.951752547046742,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
20,5,1.952671756,14.37908497,245.6530463,27522.34056,11142.648,24565.30463,21,0.18,1.15803317718087,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
21,1,1.99525,30.63583815,229.9324038,25761.03988,10429.5708,22993.24038,16,0.14,1.48637150361087,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
21,2,2.208333333,13.46153846,190.8660788,21384.1485,8657.55,19086.60788,14,0.12,1.12941719531733,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
21,3,1.871486486,11.9047619,265.9928881,29801.16454,12065.2488,26599.28881,14,0.12,1.076085367996,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
21,4,1.995681818,55.55555556,168.6535887,18895.51778,7650.0072,16865.35887,27,0.23,1.74480566090345,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
21,5,2.129230769,13.33333333,186.0740198,20847.25843,8440.1856,18607.40198,12,0.1,1.12526433527695,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
22,1,1.567852761,61.46572104,245.4225665,27496.51819,11132.1936,24542.25665,22,0.19,1.78870363121892,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
22,2,1.733975155,9.039548023,268.0960162,30036.79364,12160.6452,26809.60162,19,0.16,0.956626889037378,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
22,3,1.480897436,7.692307692,221.8560077,24856.18106,10063.2312,22185.60077,24,0.21,0.88662086384119,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
22,4,1.595853659,3.149606299,188.5036609,21119.46923,8550.3924,18850.36609,19,0.16,0.499632970965256,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
22,5,1.531888112,10.06289308,210.3704313,23569.36639,9542.2536,21037.04313,23,0.2,1.00315422410152,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
23,1,1.733655914,8.823529412,309.6688089,34694.50327,14046.3576,30966.88089,27,0.23,0.946134259398787,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
23,2,1.792751678,6.875,256.5240099,28740.29558,11635.7472,25652.40099,24,0.21,0.837903944592943,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
23,3,1.761916667,6.976744186,203.0430946,22748.43028,9209.8908,20304.30946,28,0.24,0.844274842203468,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
23,4,1.671205674,5.369127517,226.2927437,25353.26165,10264.4784,22629.27437,20,0.17,0.730711839740672,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
23,5,1.683451327,3.418803419,182.6840461,20467.45444,8286.4188,18268.40461,27,0.23,0.535142586750744,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
24,1,1.488296703,16.89497717,260.1252567,29143.77008,11799.0972,26012.52567,24,0.21,1.2280145885919,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
24,2,1.572987805,20.77294686,247.7369678,27755.8178,11237.1732,24773.69678,15,0.13,1.31770712716242,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
24,3,1.54144385,15,276.8158351,31013.7399,12556.17,27681.58351,20,0.17,1.17638069224327,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
24,4,1.578923077,12.16216216,295.6767648,33126.87035,13411.6884,29567.67648,16,0.14,1.08536772948338,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
24,5,1.596434109,22.75449102,197.7708693,22157.74361,8970.7464,19777.08693,29,0.25,1.35725794457715,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
3,1,2.16552,0.793650794,259.9523968,29124.40331,11791.2564,25995.23968,33,0.28,-0.0949326218780289,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
3,2,1.677348066,5.235602094,291.5569385,32665.29552,13224.816,29155.69385,24,0.21,0.719795344025178,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
3,3,1.552371134,3,144.6068636,16201.38406,6559.2648,14460.68636,43,0.37,0.478566495593843,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
3,4,1.685447154,3.149606299,199.0865248,22305.14629,9030.4236,19908.65248,30,0.26,0.499632970965256,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
3,5,1.741147541,8.5,305.9907356,34282.42132,13879.5228,30599.07356,35,0.3,0.929929560084588,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
4,1,1.72952381,22.93577982,139.5171015,15631.1401,6328.3968,13951.71015,43,0.37,1.36070282192468,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
4,2,1.83547486,21.49122807,315.5172337,35349.74586,14311.638,31551.72337,37,0.32,1.33246326590597,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
4,3,1.791030928,23.01587302,166.8385604,18692.16664,7567.6788,16683.85604,51,0.44,1.36221610534363,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
4,4,1.861792453,5.357142857,189.5216133,21233.51802,8596.566,18952.16133,44,0.38,0.729743155037568,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
4,5,1.632666667,17.58241758,117.5927112,13174.78734,5333.922,11759.27112,34,0.29,1.24532552504631,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
5,1,1.999116022,9.950248756,347.4867017,38931.52349,15761.7504,34748.67017,35,0.3,0.998270185010955,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
5,2,1.724487179,12.84916201,258.3486416,28944.72266,11718.5112,25834.86416,37,0.32,1.1092126679435,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
5,3,1.659215686,3.773584906,243.7900013,27313.60975,11058.1416,24379.00013,48,0.41,0.577903484251396,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
5,4,1.77950495,39.52095808,172.6005552,19337.72584,7829.0388,17260.05552,31,0.27,1.59693734011618,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
5,5,1.881650485,6.363636364,186.1220364,20852.63809,8442.3636,18612.20364,34,0.29,0.804387281978442,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
6,1,1.615246914,14.28571429,251.2901979,28153.91264,11398.3452,25129.01979,22,0.19,1.15520585990075,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
6,2,1.479534884,17.30769231,122.1927037,13690.15877,5542.5744,12219.27037,27,0.23,1.23849001910132,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
6,3,1.393023256,16.23376623,172.5717452,19334.49804,7827.732,17257.17452,19,0.16,1.21068673077173,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
6,4,1.67056,23.7804878,200.5366268,22467.61202,9096.1992,20053.66268,21,0.18,1.37640334689966,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
6,5,1.856565657,22.65625,176.5091084,19775.63016,8006.328,17650.91084,22,0.19,1.35537967455875,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
7,1,1.630862069,9.375,181.6756971,20354.48158,8240.6808,18167.56971,29,0.25,0.972434276957365,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
7,2,1.54046875,5.185185185,189.3583568,21215.22718,8589.1608,18935.83568,56,0.48,0.715601032815279,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
7,3,1.815648148,10.74380165,188.3115944,21097.95059,8541.6804,18831.15944,35,0.3,1.0315620218096,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
7,4,0.931176471,4.225352113,60.80825213,6812.801424,2758.2192,6080.825213,33,0.28,0.626889521957415,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
7,5,1.27703125,4.47761194,78.48797294,8793.592236,3560.1588,7848.797294,31,0.27,0.652015294860575,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
9,1,1.5234,5.063291139,219.4455732,24586.12213,9953.8956,21944.55732,34,0.29,0.705289785722315,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
9,2,1.385437956,17.22054381,364.5518097,40843.45465,16535.8116,36455.18097,23,0.2,1.23629898435199,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
9,3,1.571990521,21.56133829,318.5326776,35687.58851,14448.4164,31853.26776,34,0.29,1.33387708965204,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
9,4,1.579661017,12.59259259,179.0059728,20055.37248,8119.584,17900.59728,38,0.33,1.10045989684047,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
9,5,1.600925926,13.82978723,249.0622266,27904.29642,11297.286,24906.22266,27,0.23,1.14112941341935,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
0,1,1.574301,9.813084,291.7874,721.0066654,13235.2700448396,29178.8733989548,20,0.17,0.992247857838943,ST,2021,,cig_lw,CON-1,4,3,,,,,,,,
0,1,1.605,4.878049,120.224,297.073504,5453.27558993568,12022.4549638399,21,0.18,0.68913555081939,ST,2021,,cig_lw,CON-4,4,3,,,,,,,,
0,1,1.547222,9.433962,213.9621,528.7003491,9705.1694927916,21396.3078188931,23,0.2,0.975154230924318,ST,2021,,cig_lw,CON-5,4,3,,,,,,,,
0,1,1.659917,19.33333,192.8828,476.6133988,8749.0273569208,19288.3681818883,12,0.1,1.28653124100521,ST,2021,,cig_lw,CON-6,4,3,,,,,,,,
0,2,1.593964,48.84793,169.9116,419.8515636,7707.06997543681,16991.2376799473,23,0.2,1.68893506295217,ST,2021,,cig_lw,CON-1,4,3,,,,,,,,
0,2,1.712258,11.42857,50.97445,125.95786595,2312.16499114484,5097.46830442764,19,0.16,1.05837173425356,ST,2021,,cig_lw,CON-4,4,3,,,,,,,,
0,2,1.011429,8.695652,40.79492,100.80424732,1850.42871164974,4079.51065056438,26,0.22,0.939801302667418,ST,2021,,cig_lw,CON-5,4,3,,,,,,,,
0,2,1.803642,19.53488,299.6525,740.4413275,13592.0254168319,29965.3869947102,16,0.14,1.29103300833195,ST,2021,,cig_lw,CON-6,4,3,,,,,,,,
0,3,1.612,20.83333,147.0653,363.3983563,6670.77796959482,14706.5972351078,29,0.25,1.31896710450722,ST,2021,,cig_lw,CON-1,4,3,,,,,,,,
0,3,1.648936,38.15789,74.42577,183.90607767,3375.90027617753,7442.61102586927,17,0.15,1.58169815191437,ST,2021,,cig_lw,CON-4,4,3,,,,,,,,
0,3,1.193846,15.44715,119.2349,294.6294379,5408.41071365469,11923.5445116445,26,0.22,1.18912942144686,ST,2021,,cig_lw,CON-5,4,3,,,,,,,,
0,3,1.739711,13.06533,289.0313,714.1963423,13110.2552985874,28903.2621389248,20,0.17,1.11645265856191,ST,2021,,cig_lw,CON-6,4,3,,,,,,,,
0,4,1.514632,29.89691,197.8189,488.8105019,8972.92536097558,19781.9804385676,24,0.21,1.47577154378113,ST,2021,,cig_lw,CON-1,4,3,,,,,,,,
0,4,1.744819,18.62745,139.0753,343.6550663,6308.35722196052,13907.5935822508,23,0.2,1.27038649135021,ST,2021,,cig_lw,CON-4,4,3,,,,,,,,
0,4,1.395497,15.85903,255.967,632.494457,11610.4820412652,25596.8170226345,24,0.21,1.20055038116429,ST,2021,,cig_lw,CON-5,4,3,,,,,,,,
0,4,1.795319,12.42236,243.0986,600.6966406,11026.7805207574,24309.9711394774,16,0.14,1.09455357736979,ST,2021,,cig_lw,CON-6,4,3,,,,,,,,
0,5,1.64073,40.94828,215.8635,533.3987085,9791.41565168419,21586.4486881725,21,0.18,1.61234171060954,ST,2021,,cig_lw,CON-1,4,3,,,,,,,,
0,5,1.280357,9.677419,34.42792,85.07139032,1561.62609585655,3442.80773970824,23,0.2,0.986208084236937,ST,2021,,cig_lw,CON-4,4,3,,,,,,,,
0,5,1.723644,22.36842,195.322,482.640662,8859.66774335754,19532.2892970383,22,0.19,1.34982942046291,ST,2021,,cig_lw,CON-5,4,3,,,,,,,,
0,5,1.619538,9.302326,303.2826,749.4113046,13756.6841847903,30328.3986543142,23,0.2,0.969058171077602,ST,2021,,cig_lw,CON-6,4,3,,,,,,,,
,,,5,,,,,,,0.699837725867246,other,2013,10,decas,,2,1,2013-10-16T00:00:00Z,Bett01,1,0,37,53.7,0.95,
,,,4.54,,,,,,,0.658011396657112,other,2013,10,decas,,2,1,2013-10-16T00:00:00Z,Bett01,1,0,41,53.7,0.95,
,,,4.91,,,,,,,0.69196510276736,other,2013,10,decas,,2,1,2013-10-17T00:00:00Z,Bett01,1,0,28,53.7,0.95,
,,,5,,,,,,,0.699837725867246,other,2013,10,decas,,2,1,2013-10-17T00:00:00Z,Bett01,1,0,44,53.7,0.95,
,,,1.53,,,,,,,0.187520720836463,EB,2013,10,decas,,2,1,2013-10-23T00:00:00Z,Bott05,1,0,58,53.7,0.95,
,,,2.22,,,,,,,0.348304863048161,ST,2013,10,decas,,2,1,2013-10-22T00:00:00Z,Chan01,1,0,53,53.7,0.95,
,,,1.23,,,,,,,0.0934216851622351,HO,2013,10,decas,,2,1,2013-10-31T00:00:00Z,Jenn01,1,0,40,53.7,0.95,
,,,1.23,,,,,,,0.0934216851622351,HO,2013,10,decas,,2,1,2013-10-31T00:00:00Z,Jenn01,1,0,40,53.7,0.95,
,,,9.34,,,,,,,0.970811610872518,HO,2013,11,decas,,2,1,2013-11-18T00:00:00Z,Luca02,1,0,36,41.8,4.28,
,,,15.5,,,,,,,1.19061179781361,BL,2013,9,decas,,2,1,2013-09-23T00:00:00Z,Olso01,1,0,35,62,2.61,
,,,15,,,,,,,1.17638069224327,BL,2013,10,decas,,2,1,2013-10-05T00:00:00Z,Pett02,1,0,27,53.7,0.95,
,,,15,,,,,,,1.17638069224327,BL,2013,10,decas,,2,1,2013-10-06T00:00:00Z,Pett02,1,0,30,53.7,0.95,
,,,6.17,,,,,,,0.790988475088816,ST,2013,10,decas,,2,1,2013-10-02T00:00:00Z,Bott02,2,0,24,53.7,0.95,
,,,2.64,,,,,,,0.423245873936808,EB,2013,10,decas,,2,1,2013-10-23T00:00:00Z,Bott05,2,0,60,53.7,0.95,
,,,1.64,,,,,,,0.217483944213906,ST,2013,10,decas,,2,1,2013-10-29T00:00:00Z,Jenn01,2,0,38,53.7,0.95,
,,,2.68,,,,,,,0.429752280002408,ST,2013,10,decas,,2,1,2013-10-29T00:00:00Z,Jenn01,2,0,31,53.7,0.95,
,,,2.98,,,,,,,0.47567118832443,ST,2013,10,decas,,2,1,2013-10-29T00:00:00Z,Jenn01,2,0,37,53.7,0.95,
,,,25.91,,,,,,,1.41363499719856,HO,2013,11,decas,,2,1,2013-11-19T00:00:00Z,Luca02,2,0,34,41.8,4.28,
,,,25.91,,,,,,,1.41363499719856,HO,2013,11,decas,,2,1,2013-11-19T00:00:00Z,Luca02,2,0,34,41.8,4.28,
,,,22,,,,,,,1.34262004255335,BL,2013,9,decas,,2,1,2013-09-24T00:00:00Z,Olso01,2,0,35,62,2.61,
,,,1.67,,,,,,,0.225309281725863,BL,2013,11,decas,,2,1,2013-11-04T00:00:00Z,Perr03,2,0,31,41.8,4.28,
,,,3.7,,,,,,,0.569373909615046,HO,2013,10,decas,,2,1,2013-10-28T00:00:00Z,Pett02,2,0,37,53.7,0.95,
,,,3.26,,,,,,,0.514547752660286,HO,2013,10,decas,,2,1,2013-10-29T00:00:00Z,Pett02,2,0,33,53.7,0.95,
,,,12.89,,,,,,,1.11058971029925,ST,2013,10,decas,,2,1,2013-10-07T00:00:00Z,Bett01,3,0,32,53.7,0.95,
,,,12.66,,,,,,,1.10277661488344,ST,2013,10,decas,,2,1,2013-10-07T00:00:00Z,Bett01,3,0,26,53.7,0.95,
,,,12.66,,,,,,,1.10277661488344,ST,2013,10,decas,,2,1,2013-10-07T00:00:00Z,Bett01,3,0,26,53.7,0.95,
,,,3.52,,,,,,,0.547774705387823,EB,2013,10,decas,,2,1,2013-10-03T00:00:00Z,Bott02,3,0,33,53.7,0.95,
,,,6.48,,,,,,,0.812244696800369,ST,2013,10,decas,,2,1,2013-10-23T00:00:00Z,Chan01,3,0,40,53.7,0.95,
,,,0.34,,,,,,,-0.455931955649724,ST,2013,10,decas,,2,1,2013-10-25T00:00:00Z,Jenn01,3,0,39,53.7,0.95,
,,,1.01,,,,,,,0.00860017176191757,ST,2013,10,decas,,2,1,2013-10-25T00:00:00Z,Jenn01,3,0,28,53.7,0.95,
,,,1.01,,,,,,,0.00860017176191757,ST,2013,10,decas,,2,1,2013-10-25T00:00:00Z,Jenn01,3,0,28,53.7,0.95,
,,,14.7,,,,,,,1.16761267272753,HO,2013,11,decas,,2,1,2013-11-20T00:00:00Z,Luca02,3,0,34,41.8,4.28,
,,,15.94,,,,,,,1.2027606873932,HO,2013,11,decas,,2,1,2013-11-20T00:00:00Z,Luca02,3,0,31,41.8,4.28,
,,,2.26,,,,,,,0.356025857193123,ST,2013,10,decas,,2,1,2013-10-10T00:00:00Z,Olso01,3,0,23,53.7,0.95,
,,,6.69,,,,,,,0.826074802700827,ST,2013,10,decas,,2,1,2013-10-10T00:00:00Z,Olso01,3,0,25,53.7,0.95,
,,,13.97,,,,,,,1.14550717140966,ST,2013,10,decas,,2,1,2013-10-11T00:00:00Z,Pett02,3,0,36,53.7,0.95,
,,,11,,,,,,,1.04178731897175,ST,2013,10,decas,,2,1,2013-10-12T00:00:00Z,Pett02,3,0,42,53.7,0.95,
,,,8.99,,,,,,,0.954242509439325,ST,2013,10,decas,,2,1,2013-10-02T00:00:00Z,Bett01,4,0,29,53.7,0.95,
,,,2.6,,,,,,,0.416640507338281,ST,2013,10,decas,,2,1,2013-10-20T00:00:00Z,Bott02,4,0,26,53.7,0.95,
,,,0.38,,,,,,,-0.408935392973501,ST,2013,10,decas,,2,1,2013-10-21T00:00:00Z,Bott02,4,0,38,53.7,0.95,
,,,0.08,,,,,,,-1.04575749056068,ST,2013,10,decas,,2,1,2013-10-22T00:00:00Z,Bott02,4,0,25,53.7,0.95,
,,,7.7,,,,,,,0.887054378050957,EB,2013,10,decas,,2,1,2013-10-29T00:00:00Z,Bott05,4,0,45,53.7,0.95,
,,,10.82,,,,,,,1.03462845662532,BL,2013,10,decas,,2,1,2013-10-09T00:00:00Z,Olso01,4,0,31,53.7,0.95,
,,,19.07,,,,,,,1.28057837036808,ST,2013,10,decas,,2,1,2013-10-03T00:00:00Z,Bett01,5,0,34,53.7,0.95,
,,,19.07,,,,,,,1.28057837036808,ST,2013,10,decas,,2,1,2013-10-03T00:00:00Z,Bett01,5,0,34,53.7,0.95,
,,,3.58,,,,,,,0.555094448578319,EB,2013,10,decas,,2,1,2013-10-30T00:00:00Z,Bott05,5,0,72,53.7,0.95,
,,,2.12,,,,,,,0.328379603438738,HO,2013,10,decas,,2,1,2013-10-30T00:00:00Z,Bett01,6,0,42,53.7,0.95,
,,,5.41,,,,,,,0.733999286538387,HO,2013,10,decas,,2,1,2013-10-31T00:00:00Z,Bett01,6,0,47,53.7,0.95,
,,,3.38,,,,,,,0.530199698203082,HO,2013,11,decas,,2,1,2013-11-01T00:00:00Z,Bett01,6,0,56,41.8,4.28,
,,,2.33,,,,,,,0.369215857410143,HO,2013,11,decas,,2,1,2013-11-01T00:00:00Z,Bett01,6,0,51,41.8,4.28,
,,,4.53,,,,,,,0.657055852857104,HO,2013,11,decas,,2,1,2013-11-01T00:00:00Z,Bett01,6,0,58,41.8,4.28,
,,,7.85,,,,,,,0.895422546039408,ST,2013,10,decas,,2,1,2013-10-10T00:00:00Z,Olso01,7,0,33,53.7,0.95,
,,,11.04,,,,,,,1.04336227802113,ST,2013,10,decas,,2,1,2013-10-10T00:00:00Z,Olso01,7,0,24,53.7,0.95,
,,,12.69,,,,,,,1.10380372095596,ST,2013,10,decas,,2,1,2013-10-11T00:00:00Z,Olso01,7,0,31,53.7,0.95,
,,,6.08,,,,,,,0.784617292632875,ST,2013,10,decas,,2,1,2013-10-11T00:00:00Z,Olso01,7,0,30,53.7,0.95,
,,,3.99,,,,,,,0.602059991327962,HO,2013,11,decas,,2,1,2013-11-04T00:00:00Z,Bett01,9,0,51,41.8,4.28,
,,,3.99,,,,,,,0.602059991327962,HO,2013,11,decas,,2,1,2013-11-04T00:00:00Z,Bett01,9,0,51,41.8,4.28,
,,,3.9,,,,,,,0.592176757395867,HO,2013,11,decas,,2,1,2013-11-05T00:00:00Z,Bett01,9,0,41,41.8,4.28,
