grower_id,Delivered,Bog,LotID,GTL,Rot,Debris,Color,Variety,GTL ,Lot Pack Out,Pack Out %,"Useable 
w 3 % Allow"
,10/18/2017,LP3,"4,675",6339,2.87,0,26,ST,"45,840","44,325",96.69%,"44,325"
,,,,,,,,,,,,
,10/18/2017,LP3,"4,675",6342,2.87,0,26,ST,"40,020","38,697",96.69%,"38,697"
,,,,,,,,,,,,
,10/18/2017,ROUN5,"4,685",6350,1.9,0,23,HO,"47,060","44,522",94.61%,"44,522"
,,,,,,,,,,,,
,10/18/2017,ROUN5,"4,693",6360,1.44,0,28,HO,"46,000","44,397",96.52%,"44,397"
,,,,,,,,,,,,
,10/18/2017,ROUN4,"4,697",6365,2.37,0,34,HO,"48,740","46,475",95.35%,"46,475"
,,,,,,,,,,,,
,10/19/2017,ROUN4,"4,701",6369,2.6,0,20,HO,"54,540","51,556",94.53%,"51,556"
,,,,,,,,,,,,
,10/19/2017,ROUN2,"4,708",6376,2.4,0,36,HO,"51,140","48,207",94.26%,"48,207"
,,,,,,,,,,,,
,10/19/2017,ROUN2,"4,713",6383,2.29,0,27,HO,"51,400","48,702",94.75%,"48,702"
,,,,,,,,,,,,
,10/19/2017,ROUN2,"4,713",6387,2.29,0,27,HO,"51,720","49,005",94.75%,"49,005"
,,,,,,,,,,,,
,10/19/2017,ROUN2,"4,722",6393,2.61,0,21,HO,"47,160","45,354",96.17%,"45,354"
,,,,,,,,,,,,
,10/20/2017,LP5,"4,733",6407,2.65,0,32,ST,"49,100","46,290",94.28%,"46,290"
,,,,,,,,,,,,
,10/20/2017,LP5,"4,733",6410,2.65,0,32,ST,"47,800","45,065",94.28%,"45,065"
,,,,,,,,,,,,
,10/20/2017,LP5,"4,733",6414,2.65,0,32,ST,"48,900","46,102",94.28%,"46,102"
,,,,,,,,,,,,
,10/20/2017,LP5,"4,742",6419,2.61,0,34,ST,"47,580","46,021",96.72%,"46,021"
,,,,,,,,,,,,
,10/20/2017,LP5,"4,742",6422,2.61,0,34,ST,"48,240","46,660",96.72%,"46,660"
