date,grower,bog,rot,debris,color,kqf_pre,kqf_final,log_rot,variety_coll,year,month,data_source
2013-10-09T00:00:00Z,Reze02,#11,4.01,0,62,1,2,0.60422605308447,ST,2013,10,decas
2013-10-10T00:00:00Z,Reze02,#11,4.4,0,29,1,2,0.644438589467839,ST,2013,10,decas
2013-10-10T00:00:00Z,Reze02,#11,4.4,0,29,1,2,0.644438589467839,ST,2013,10,decas
2013-10-08T00:00:00Z,Reze02,#12,3.74,0,24,1,2,0.574031267727719,ST,2013,10,decas
2013-10-09T00:00:00Z,Reze02,#12,3.02,0,29,1,2,0.481442628502305,ST,2013,10,decas
2013-10-18T00:00:00Z,Nant01,#12a,25.55,0,44,1,2,1.40756084948636,ST,2013,10,decas
2013-10-10T00:00:00Z,Nant01,#12b,12.25,0,31,1,2,1.0884904701824,BL,2013,10,decas
2013-10-07T00:00:00Z,Nant01,#13,12.45,0,44,1,2,1.09551804232315,EB,2013,10,decas
2013-10-08T00:00:00Z,Nant01,#13,8.65,0,42,1,2,0.937517892017347,EB,2013,10,decas
2013-10-11T00:00:00Z,Reze02,#13,6.48,0,27,1,2,0.812244696800369,ST,2013,10,decas
2013-10-11T00:00:00Z,Reze02,#13,9.75,0,23,1,2,0.989449817666692,ST,2013,10,decas
2013-10-11T00:00:00Z,Reze02,#13,6.53,0,25,1,2,0.815577748324267,ST,2013,10,decas
2013-10-06T00:00:00Z,Nant01,#14,4.28,0,52,1,2,0.632457292184724,EB,2013,10,decas
2013-10-07T00:00:00Z,Nant01,#14,8.15,0,68,1,2,0.911690158753861,EB,2013,10,decas
2013-10-10T00:00:00Z,Reze02,#14,4.32,0,26,1,2,0.636487896353366,ST,2013,10,decas
2013-10-10T00:00:00Z,Reze02,#14,3.59,0,28,1,2,0.556302500767287,ST,2013,10,decas
2013-10-10T00:00:00Z,Reze02,#14,4.76,0,23,1,2,0.678518379040114,ST,2013,10,decas
2013-10-09T00:00:00Z,Reze02,#15,1.97,0,26,1,2,0.296665190261531,ST,2013,10,decas
2013-10-09T00:00:00Z,Reze02,#15,1.97,0,26,1,2,0.296665190261531,ST,2013,10,decas
2013-10-09T00:00:00Z,Reze02,#15,1.72,0,29,1,2,0.238046103128795,ST,2013,10,decas
2013-10-07T00:00:00Z,Reze02,#16,2.69,0,25,1,2,0.431363764158987,ST,2013,10,decas
2013-10-07T00:00:00Z,Reze02,#16,1.59,0,26,1,2,0.204119982655925,ST,2013,10,decas
2013-10-05T00:00:00Z,Nant01,#16A,4.41,0,50,1,2,0.645422269349092,EB,2013,10,decas
2013-10-04T00:00:00Z,Nant01,#16B,7.89,0,41,1,2,0.897627091290442,EB,2013,10,decas
2013-10-14T00:00:00Z,Nant01,#19,3.21,0,40,1,2,0.507855871695831,EB,2013,10,decas
2013-10-14T00:00:00Z,Pike01,#2,14.62,0,31,1,2,1.16524432612531,ST,2013,10,decas
2013-10-14T00:00:00Z,Pike01,#2,10,0,34,1,2,1.00043407747932,ST,2013,10,decas
2013-10-15T00:00:00Z,Pike01,#2,8.67,0,35,1,2,0.938519725176492,ST,2013,10,decas
2013-09-12T00:00:00Z,Reze02,#2,2,0,22,1,2,0.303196057420489,BL,2013,9,decas
2013-10-29T00:00:00Z,Ward01,#2,6.22,0,24,1,2,0.79448804665917,HO,2013,10,decas
2013-10-14T00:00:00Z,Nant01,#22,5.84,0,43,1,2,0.76715586608218,EB,2013,10,decas
2013-10-01T00:00:00Z,Nant01,#23,7.59,0,40,1,2,0.880813592280791,EB,2013,10,decas
2013-10-23T00:00:00Z,Pike01,#3,8.72,0,30,1,2,0.94101424370557,ST,2013,10,decas
2013-10-24T00:00:00Z,Pike01,#3,16.26,0,33,1,2,1.21138755293686,ST,2013,10,decas
2013-09-26T00:00:00Z,Reze02,#3,1.81,0,24,1,2,0.260071387985075,BL,2013,9,decas
2013-11-18T00:00:00Z,Wain01,#3,4.88,0,43,1,2,0.68930885912362,ST,2013,11,decas
2013-11-18T00:00:00Z,Wain01,#3,4.88,0,43,1,2,0.68930885912362,ST,2013,11,decas
2013-11-18T00:00:00Z,Wain01,#3,5.48,0,51,1,2,0.739572344450092,HO,2013,11,decas
2013-10-29T00:00:00Z,Ward01,#3,7.6,0,34,1,2,0.881384656770573,HO,2013,10,decas
2013-10-10T00:00:00Z,Pett02,#4,15,0,28,1,2,1.17638069224327,BL,2013,10,decas
2013-10-10T00:00:00Z,Pett02,#4,15,0,28,1,2,1.17638069224327,BL,2013,10,decas
2013-10-10T00:00:00Z,Pett02,#4,11.84,0,29,1,2,1.07371835034612,BL,2013,10,decas
2013-10-25T00:00:00Z,Pike01,#4,6.3,0,45,1,2,0.800029359244134,ST,2013,10,decas
2013-10-26T00:00:00Z,Pike01,#4,9.68,0,49,1,2,0.986323777050765,ST,2013,10,decas
2013-09-25T00:00:00Z,Reze02,#4,1.41,0,25,1,2,0.152288344383056,BL,2013,9,decas
2013-09-26T00:00:00Z,Reze02,#4,0.77,0,24,1,2,-0.10790539730952,BL,2013,9,decas
2013-09-26T00:00:00Z,Reze02,#4,1.15,0,26,1,2,0.0644579892269185,BL,2013,9,decas
2013-10-06T00:00:00Z,Pike01,#5,2.4,0,33,1,2,0.382017042574868,BL,2013,10,decas
2013-11-07T00:00:00Z,Wain01,#5,3.22,0,36,1,2,0.509202522331103,ST,2013,11,decas
2013-11-07T00:00:00Z,Wain01,#5,1.1,0,42,1,2,0.0453229787866575,ST,2013,11,decas
