"","grower_id","date","bog","rot","debris","color","variety","kqf_pre","kqf_final"
"142","Ward01","10/25/2013","#5",3.17,0,34,"HO",1,2
"143","Reze02","10/7/2013","#5A",4.58,0,32,"ST",1,2
"144","Reze02","10/7/2013","#5A",4.58,0,32,"ST",1,2
"145","Reze02","10/12/2013","#5B",2.31,0,60,"HO",1,2
"146","Reze02","10/12/2013","#5B",3.63,0,38,"EB",1,2
"147","Nant01","10/8/2013","#6",6.56,0,45,"EB",1,2
"148","Nant01","10/9/2013","#6",3.3,0,62,"EB",1,2
"149","Nant01","10/9/2013","#6",3.16,0,62,"EB",1,2
"150","Nant01","10/9/2013","#6",3.16,0,62,"EB",1,2
"151","Reze02","9/23/2013","#6",3.67,0,29,"BL",1,2
"152","Reze02","9/23/2013","#6",3.67,0,26,"BL",1,2
"153","Reze02","9/23/2013","#6",5,0,29,"BL",1,2
"154","Reze02","9/23/2013","#7",3.25,0,29,"BL",1,2
"155","Reze02","9/24/2013","#7",3,0,25,"BL",1,2
"156","Reze02","9/24/2013","#7",3,0,28,"BL",1,2
"157","Ward01","10/21/2013","#7",4.78,0,27,"ST",1,2
"158","Ward01","10/21/2013","#7",4.78,0,27,"ST",1,2
"159","Reze02","9/24/2013","#8",3.8,0,24,"BL",1,2
"160","Reze02","9/24/2013","#8",2,0,24,"BL",1,2
"161","Reze02","10/8/2013","#9",5.65,0,26,"ST",1,2
"162","Ashl02","10/12/2013","1 S",4.59,0,33,"ST",1,2
"163","Nant01","10/2/2013","16c",12.23,0,51,"EB",1,2
"164","Nant01","10/4/2013","16c",8.18,0,41,"EB",1,2
"165","Nant01","10/1/2013","17b",7.42,0,36,"EB",1,2
"166","Ashl02","10/28/2013","3 S",2.95,0,41,"ST",1,2
"167","Russ01","11/22/2013","3A",6.18,0,72,"HO",1,2
"168","Pink01","10/2/2013","3House",1.4,0,49,"EB",1,2
"169","Pink01","10/3/2013","3House",1.4,0,49,"EB",1,2
"170","Bett01","10/8/2013","7A",12.44,0,32,"ST",1,2
"171","Bett01","10/8/2013","7A",19.73,0,28,"ST",1,2
"172","Bett01","10/8/2013","7A",19.73,0,28,"ST",1,2
"173","Bett01","10/8/2013","7A",11.22,0,30,"ST",1,2
"174","Bett01","10/8/2013","7A",9.98,0,29,"ST",1,2
"175","Lamb01","10/10/2013","A",2.38,0,44,"OS",1,2
"176","Lamb01","10/10/2013","A",2.38,0,44,"OS",1,2
"177","Lamb01","10/11/2013","A",1.45,0,37,"OS",1,2
"178","Krys01","10/6/2013","A1",2.82,0,45,"EB",1,2
"179","Norr01","10/15/2013","A-1",4.37,0,68,"EB",1,2
"180","Norr01","10/15/2013","A-1",4.37,0,68,"EB",1,2
"181","Norr01","10/19/2013","A-10",2.83,0,51,"EB",1,2
"182","Norr01","10/19/2013","A-11",3.72,0,52,"ST",1,2
"183","Norr01","10/17/2013","A-12",1.44,0,56,"MX",1,2
"184","Norr01","10/17/2013","A-12",4.18,0,57,"MX",1,2
"185","Norr01","10/17/2013","A-12",4.18,0,57,"MX",1,2
"186","Norr01","10/25/2013","A-13",0.91,0,63,"EB",1,2
"187","Norr01","10/25/2013","A-13",1.11,0,69,"EB",1,2
"188","Norr01","10/25/2013","A-13",1.11,0,69,"EB",1,2
"189","Krys01","10/6/2013","A2",1.97,0,45,"EB",1,2
"190","Krys01","10/6/2013","A2",1.97,0,45,"EB",1,2
"191","Medi01","10/7/2013","A2",0.69,0,44,"EB",1,2
"192","Norr01","10/16/2013","A-2",3.67,0,52,"EB",1,2
"193","Brid01","10/16/2013","A3",5.48,0,48,"ST",1,2
"194","Brid01","10/16/2013","A3",11.77,0,43,"ST",1,2
"195","Medi01","10/4/2013","A3",1.68,0,42,"BL",1,2
"196","Norr01","10/23/2013","A-3",3.97,0,49,"MX",1,2
"197","Norr01","10/23/2013","A-3",3.85,0,44,"MX",1,2
"198","Norr01","10/23/2013","A-3",1.23,0,50,"MX",1,2
"199","Norr01","10/23/2013","A-3",1.23,0,50,"MX",1,2
"200","Medi01","10/4/2013","A4",0.98,0,44,"MX",1,2
"201","Norr01","10/16/2013","A-4",2.21,0,44,"EB",1,2
"202","Medi01","10/4/2013","A5",1.25,0,29,"EB",1,2
"203","Medi01","10/7/2013","A6",0.99,0,32,"EB",1,2
"204","Medi01","10/7/2013","A6",0.99,0,32,"EB",1,2
"205","Norr01","10/18/2013","A-6",7.48,0,65,"EB",1,2
"206","Krys01","10/6/2013","A7",9.83,0,51,"BL",1,2
"207","Medi01","10/4/2013","A7",11.3,0,35,"ST",1,2
"208","Norr01","10/18/2013","A-7",4.11,0,60,"MX",1,2
"209","Norr01","10/18/2013","A-7",3.18,0,72,"MX",1,2
"210","Norr01","10/18/2013","A-7",3.18,0,72,"MX",1,2
"211","Medi01","10/7/2013","A8",3.2,0,48,"EB",1,2
"212","Norr01","10/20/2013","A8B",3.05,0,42,"ST",1,2
"213","Norr01","10/20/2013","A8B",3.05,0,42,"ST",1,2
"214","Medi01","10/18/2013","A9",1.24,0,23,"HO",1,2
"215","Norr01","10/22/2013","A-9",2.56,0,21,"HO",1,2
"216","Norr01","10/22/2013","A-9",1.57,0,22,"HO",1,2
"217","Norr01","10/22/2013","A-9",1.57,0,22,"HO",1,2
"218","Rich01","10/20/2013","Acush2",1.93,0,28,"HO",1,2
