date,grower_id,Bog,LotID,GTL,Rot,Debris,Color,Variety,GTL.1,Pack Out %,kqf_pre,kqf_final,Lot Pack Out,Useable w3% allow,"Useable 
w 3 % Allow",GTLID,BogID,# Totes,"Ave Bin 
Wgt.",NetWeight
2012-09-27,Reze01,Lanz 7,"1,081",1324,,,,BL,3180,90.04%,,,,,,,,,,
2012-09-27,Youn01,Mdw St,"1,082",1323,,,,BL,14240,86.51%,,,,,,,,,,
2012-09-28,Bett01,5,"1,088",1333,,,,ST,47420,89.50%,,,,,,,,,,
2012-09-28,Deca01,MP1B,"1,094",1341,,,,ST,52080,96.05%,,,,,,,,,,
2012-09-28,Deca01,MP1B,"1,099",1346,,,,ST,25180,93.61%,,,,,,,,,,
2012-09-28,Deca03,ZPD,"1,085",1334,,,,PD,2260,99.65%,,,,,,,,,,
2012-09-28,Deca03,ZPD,"1,085",1335,,,,PD,9760,99.65%,,,,,,,,,,
2012-09-28,Deca03,ZPD,"1,093",1340,,,,PD,3620,97.10%,,,,,,,,,,
2012-09-28,Hann01,C 8,"1,097",1344,,,,EB,5800,96.86%,,,,,,,,,,
2012-09-28,Hann01,C15,"1,101",1348,,,,BL,57420,95.63%,,,,,,,,,,
2012-09-28,Hann01,C15,"1,102",1349,,,,BL,41240,96.85%,,,,,,,,,,
2012-09-28,Hann01,C15,"1,103",1350,,,,BL,58760,95.18%,,,,,,,,,,
2012-09-28,Hann01,C15,"1,105",1352,,,,BL,41320,96.44%,,,,,,,,,,
2012-09-28,Hann03,B5a,"1,089",1336,,,,BL,26080,97.05%,,,,,,,,,,
2012-09-28,Krys01,A7,"1,095",1342,,,,BL,10560,93.91%,,,,,,,,,,
2012-09-28,Nant01,#16B,"1,090",1337,,,,EB,43640,85.54%,,,,,,,,,,
2012-09-28,Paqu01,Pierce,"1,091",1338,,,,EB,38240,93.38%,,,,,,,,,,
2012-09-28,Pett02,#4,"1,087",1332,,,,BL,22100,94.24%,,,,,,,,,,
2012-09-28,Pett02,#4,"1,092",1339,,,,BL,12480,94.94%,,,,,,,,,,
2012-09-28,Pett02,#4,"1,096",1343,,,,BL,22800,94.50%,,,,,,,,,,
2012-09-28,Pett02,#4,"1,100",1347,,,,BL,12840,95.55%,,,,,,,,,,
